"filename", "language", "PHP", "JavaScript", "Markdown", "JSON", "Vue", "CSS", "XML", "JSON with Comments", "Database", "comment", "blank", "total"
"d:\servidores\xampp\htdocs\SEA\app\Providers\JetstreamServiceProvider.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 0, 0, 10, 8, 44
"d:\servidores\xampp\htdocs\SEA\bootstrap\app.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 25
"d:\servidores\xampp\htdocs\SEA\bootstrap\providers.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\servidores\xampp\htdocs\SEA\composer.json", "JSON", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 1, 72
"d:\servidores\xampp\htdocs\SEA\composer.lock", "JSON", 0, 0, 0, 8607, 0, 0, 0, 0, 0, 0, 1, 8608
"d:\servidores\xampp\htdocs\SEA\config\app.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 82, 23, 127
"d:\servidores\xampp\htdocs\SEA\config\auth.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 74, 14, 116
"d:\servidores\xampp\htdocs\SEA\config\cache.php", "PHP", 56, 0, 0, 0, 0, 0, 0, 0, 0, 34, 18, 108
"d:\servidores\xampp\htdocs\SEA\config\database.php", "PHP", 105, 0, 0, 0, 0, 0, 0, 0, 0, 43, 23, 171
"d:\servidores\xampp\htdocs\SEA\config\filesystems.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 0, 0, 32, 13, 77
"d:\servidores\xampp\htdocs\SEA\config\fortify.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 106, 25, 159
"d:\servidores\xampp\htdocs\SEA\config\jetstream.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 53, 15, 82
"d:\servidores\xampp\htdocs\SEA\config\logging.php", "PHP", 79, 0, 0, 0, 0, 0, 0, 0, 0, 33, 21, 133
"d:\servidores\xampp\htdocs\SEA\config\mail.php", "PHP", 55, 0, 0, 0, 0, 0, 0, 0, 0, 43, 19, 117
"d:\servidores\xampp\htdocs\SEA\config\permission.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 0, 0, 109, 46, 187
"d:\servidores\xampp\htdocs\SEA\config\queue.php", "PHP", 52, 0, 0, 0, 0, 0, 0, 0, 0, 44, 17, 113
